Country Name,Population 2022
Aruba,107310.0
Africa Eastern and Southern,731821393.0
Afghanistan,40578842.0
Africa Western and Central,497387180.0
Angola,35635029.0
Albania,2777689.0
Andorra,79705.0
Arab World,471352066.0
United Arab Emirates,10074977.0
Argentina,45407904.0
Armenia,2969200.0
American Samoa,48342.0
Antigua and Barbuda,92840.0
Australia,26014399.0
Austria,9041851.0
Azerbaijan,10141756.0
Burundi,13321097.0
Belgium,11680210.0
Benin,13759501.0
Burkina Faso,22509038.0
Bangladesh,169384897.0
Bulgaria,6643324.0
Bahrain,1524693.0
"Bahamas, The",397538.0
Bosnia and Herzegovina,3204802.0
Belarus,9228071.0
Belize,402733.0
Bermuda,64749.0
Bolivia,12077154.0
Brazil,210306415.0
Barbados,282318.0
Brunei Darussalam,455370.0
Bhutan,780914.0
Botswana,2439892.0
Central African Republic,5098039.0
Canada,38939056.0
Central Europe and the Baltics,100289401.0
Switzerland,8777088.0
Channel Islands,167215.0
Chile,19553036.0
China,1412175000.0
Cote d'Ivoire,30395002.0
Cameroon,27632771.0
"Congo, Dem. Rep.",102396968.0
"Congo, Rep.",6035104.0
Colombia,51737944.0
Comoros,834188.0
Cabo Verde,519741.0
Costa Rica,5081765.0
Caribbean small states,3131505.0
Cuba,11059820.0
Curacao,149996.0
Cayman Islands,71591.0
Cyprus,1331370.0
Czechia,10672118.0
Germany,83797985.0
Djibouti,1137096.0
Dominica,66826.0
Denmark,5903037.0
Dominican Republic,11230734.0
Algeria,45477389.0
East Asia & Pacific (excluding high income),2133560408.0
Early-demographic dividend,3470644834.0
East Asia & Pacific,2379648296.0
Europe & Central Asia (excluding high income),250834021.5
Europe & Central Asia,925385334.5
Ecuador,17823897.0
"Egypt, Arab Rep.",112618250.0
Euro area,348627172.0
Eritrea,3409447.0
Spain,47759127.0
Estonia,1348840.0
Ethiopia,125384287.0
European Union,447847220.0
Fragile and conflict affected situations,1038158122.0
Finland,5556106.0
Fiji,919422.0
France,68065015.0
Faroe Islands,53952.0
"Micronesia, Fed. Sts.",112114.0
Gabon,2430747.0
United Kingdom,67791000.0
Georgia,3712502.0
Ghana,33149152.0
Gibraltar,37609.0
Guinea,14055137.0
"Gambia, The",2636470.0
Guinea-Bissau,2105529.0
Equatorial Guinea,1803545.0
Greece,10436882.0
Grenada,116913.0
Greenland,56661.0
Guatemala,17847877.0
Guam,165180.0
Guyana,821637.0
High income,1393036569.0
"Hong Kong SAR, China",7346100.0
Honduras,10463872.0
Heavily indebted poor countries (HIPC),893906294.0
Croatia,3855641.0
Haiti,11503606.0
Hungary,9644377.0
IBRD only,4928694202.0
IDA & IBRD total,6795222291.5
IDA total,1866528089.5
IDA blend,621500917.0
Indonesia,278830529.0
IDA only,1245027172.5
Isle of Man,84132.0
India,1425423212.0
Ireland,5165700.0
"Iran, Islamic Rep.",89524246.0
Iraq,44070551.0
Iceland,382003.0
Israel,9557500.0
Italy,59013667.0
Jamaica,2839144.0
Jordan,11256263.0
Japan,125124989.0
Kazakhstan,20034609.0
Kenya,54252461.0
Kyrgyz Republic,6975219.5
Cambodia,17201724.0
Kiribati,130469.0
St. Kitts and Nevis,46709.0
"Korea, Rep.",51672569.0
Kuwait,4589643.0
Latin America & Caribbean (excluding high income),590730587.0
Lao PDR,7559007.0
Lebanon,5744489.0
Liberia,5373294.0
Libya,7223805.0
St. Lucia,178781.0
Latin America & Caribbean,653104771.0
Least developed countries: UN classification,1134585604.0
Low income,716865783.0
Liechtenstein,39493.0
Sri Lanka,22181000.0
Lower middle income,3041203716.5
Low & middle income,6568731933.5
Lesotho,2286110.0
Late-demographic dividend,2324072105.5
Lithuania,2831639.0
Luxembourg,653103.0
Latvia,1879383.0
"Macao SAR, China",677300.0
St. Martin (French part),28870.0
Morocco,37329064.0
Monaco,38931.0
Moldova,2528654.0
Madagascar,30437261.0
Maldives,524106.0
Middle East & North Africa,498070255.0
Mexico,128613117.0
Marshall Islands,40077.0
Middle income,5851866150.5
North Macedonia,1831712.0
Mali,23072640.0
Malta,531511.0
Myanmar,53756787.0
Middle East & North Africa (excluding high income),432229148.0
Montenegro,617213.0
Mongolia,3433748.0
Northern Mariana Islands,46078.0
Mozambique,32656246.0
Mauritania,4875637.0
Mauritius,1262523.0
Malawi,20568728.0
Malaysia,34695493.0
North America,372275216.0
Namibia,2889662.0
New Caledonia,287123.0
Niger,25311973.0
Nigeria,223150896.0
Nicaragua,6730654.0
Netherlands,17700982.0
Norway,5457127.0
Nepal,29715436.0
Nauru,11801.0
New Zealand,5117200.0
OECD members,1378506989.0
Oman,4730226.0
Other small states,14217718.0
Pakistan,243700667.0
Panama,4400773.0
Peru,33475438.0
Philippines,113964338.0
Palau,17759.0
Papua New Guinea,10203169.0
Poland,36821749.0
Pre-demographic dividend,1051201551.0
Puerto Rico,3220113.0
"Korea, Dem. People's Rep.",26328845.0
Portugal,10434332.0
Paraguay,6760464.0
West Bank and Gaza,5043612.0
Pacific island small states,2656049.0
Post-demographic dividend,1117561802.0
French Polynesia,280378.0
Qatar,2657333.0
Romania,19048502.0
Russian Federation,144236933.0
Rwanda,13651030.0
South Asia,1932289074.0
Saudi Arabia,32175224.0
Sudan,49383346.0
Senegal,17651103.0
Singapore,5637022.0
Solomon Islands,781066.0
Sierra Leone,8276807.0
El Salvador,6280319.0
San Marino,33755.0
Somalia,17801897.0
Serbia,6664449.0
Sub-Saharan Africa (excluding high income),1229088695.0
South Sudan,11021177.0
Sub-Saharan Africa,1229208573.0
Small states,20005272.0
Sao Tome and Principe,226305.0
Suriname,623164.0
Slovak Republic,5431752.0
Slovenia,2112076.0
Sweden,10486941.0
Eswatini,1218917.0
Sint Maarten (Dutch part),42139.0
Seychelles,119878.0
Syrian Arab Republic,22462173.0
Turks and Caicos Islands,45847.0
Chad,18455316.0
East Asia & Pacific (IDA & IBRD countries),2107261123.0
Europe & Central Asia (IDA & IBRD countries),461440170.5
Togo,9089738.0
Thailand,71735329.0
Tajikistan,10182222.0
Turkmenistan,7230193.0
Latin America & the Caribbean (IDA & IBRD countries),637837815.0
Timor-Leste,1369295.0
Middle East & North Africa (IDA & IBRD countries),427185536.0
Tonga,105042.0
South Asia (IDA & IBRD),1932289074.0
Sub-Saharan Africa (IDA & IBRD countries),1229208573.0
Trinidad and Tobago,1365805.0
Tunisia,12119334.0
Turkiye,84979913.0
Tuvalu,9992.0
Tanzania,64711821.0
Uganda,47312719.0
Ukraine,41048766.0
Upper middle income,2810662434.0
Uruguay,3390913.0
United States,333271411.0
Uzbekistan,34938955.0
St. Vincent and the Grenadines,102046.0
"Venezuela, RB",28213017.0
British Virgin Islands,38319.0
Virgin Islands (U.S.),105413.0
Viet Nam,99680655.0
Vanuatu,313046.0
World,7989981519.5
Samoa,215261.0
Kosovo,1768096.0
"Yemen, Rep.",38222876.0
South Africa,62378410.0
Zambia,20152938.0
Zimbabwe,16069056.0
